Intensidade de luz, canal A vsPosição angular, canais 1 e 2(&2), Série n.º 1
Posição angular, canais 1 e 2(&2) ( graus )	Intensidade de luz, canal A ( % do máx. )
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,3	333,2
0,8	333,2
4,5	333,2
15,5	333,2
30,0	333,2
48,7	317,7
69,0	211,3
85,5	141,1
98,5	93,8
106,8	63,9
112,7	45,9
121,3	26,7
127,8	17,3
134,2	5,0
141,3	-4,2
147,2	-10,6
152,2	-20,7
156,2	-23,8
160,2	-31,6
165,5	-37,4
171,7	-40,5
177,3	-51,6
184,0	-55,3
191,7	-62,3
199,8	-66,6
207,7	-67,5
216,0	-73,3
224,8	-71,7
232,0	-76,2
240,0	-77,2
248,5	-76,3
257,0	-81,0
265,7	-78,1
274,5	-81,1
283,0	-82,3
291,8	-80,4
300,3	-84,8
309,3	-82,0
316,8	-84,3
323,3	-85,0
331,3	-82,8
339,0	-86,7
346,7	-84,2
354,8	-86,8
363,3	-86,9
371,5	-85,0
379,7	-88,1
388,8	-85,5
398,3	-87,7
407,8	-88,1
417,0	-85,4
426,2	-89,5
435,5	-86,0
445,2	-88,2
455,5	-88,2
465,5	-85,9
475,5	-88,9
485,7	-85,3
496,3	-87,2
507,2	-85,5
518,7	-82,5
529,8	-85,0
539,7	-79,6
552,2	-79,5
565,0	-77,8
580,2	-73,2
594,5	-74,0
606,7	-68,7
618,0	-68,3
628,7	-66,0
638,7	-62,0
648,5	-63,4
658,3	-58,0
668,5	-59,0
678,7	-57,0
688,0	-53,1
697,2	-55,2
706,2	-50,1
715,8	-51,7
725,0	-50,3
734,8	-46,9
745,3	-49,0
755,0	-45,1
764,7	-46,2
774,5	-45,1
783,8	-42,0
793,7	-44,8
804,3	-40,5
814,5	-41,7
825,0	-41,3
836,3	-39,2
847,0	-42,1
857,8	-37,9
867,5	-40,0
877,5	-39,8
886,2	-36,7
897,3	-40,2
909,5	-36,8
923,5	-39,2
937,5	-39,2
953,5	-37,3
970,0	-40,9
985,8	-37,7
1002,5	-40,4
1018,2	-40,4
1033,5	-38,7
1048,5	-43,0
1061,8	-40,1
