Intensidade de luz, canal A vsPosição angular, canais 1 e 2(&2), Série n.º 1
Posição angular, canais 1 e 2(&2) ( graus )	Intensidade de luz, canal A ( % do máx. )
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,3	333,2
0,5	333,2
1,5	333,2
6,2	333,2
12,7	333,2
20,5	310,0
31,0	265,5
42,2	216,6
53,5	169,6
64,0	138,4
73,7	112,8
82,0	95,1
87,0	85,1
91,5	73,4
95,8	69,2
100,0	62,2
104,5	57,8
108,5	55,3
111,8	50,0
115,2	48,6
118,7	44,8
122,7	41,9
126,8	40,5
130,7	35,0
134,5	34,3
138,2	29,5
142,2	26,1
145,8	25,2
149,5	19,2
154,0	18,1
159,5	12,6
164,8	7,2
170,5	5,4
176,5	-0,8
182,7	-0,9
189,0	-4,4
195,2	-6,4
202,3	-6,2
210,0	-9,9
217,5	-8,6
225,3	-10,9
232,5	-12,0
238,5	-11,0
243,3	-14,4
247,5	-12,2
252,0	-14,5
257,5	-14,6
264,0	-13,7
271,0	-16,6
278,2	-14,6
285,3	-16,0
292,3	-16,8
299,8	-15,4
306,5	-18,4
313,5	-16,0
320,5	-17,6
327,0	-18,2
333,3	-16,9
340,0	-19,5
346,7	-17,5
353,5	-18,7
360,5	-19,2
367,7	-18,1
375,8	-21,0
384,8	-18,3
394,2	-20,1
403,5	-20,0
412,7	-18,9
422,7	-21,3
432,5	-19,0
442,0	-20,3
450,5	-20,1
458,5	-18,2
466,5	-20,8
474,8	-17,7
482,7	-18,4
491,0	-17,7
499,8	-15,6
508,0	-17,1
515,8	-13,4
522,5	-13,7
529,2	-12,3
536,5	-9,9
543,7	-11,1
551,2	-7,5
558,5	-8,0
566,5	-6,1
574,5	-3,3
583,0	-4,4
592,7	-0,8
602,0	-0,7
